number,step,time,node
870,53,8407,22355542
871,52,7942,20999777
874,60,210576,570154020
876,48,234,626224
877,58,82997,222203890
882,62,59566,159255615
883,52,20625,55343914
884,54,13870,37385193
886,48,2050,5313450
887,53,454264,1236580503
888,60,1537463,-119008569
894,52,9674,25641576
895,52,420401,1151747429
896,60,271268,732828497
897,49,26919,72781364
900,55,16988,45623296
901,58,291474,793534839
902,54,473,1239568
904,57,16446,43350680
905,44,980,2519737
906,58,40368,107880584
907,52,90738,247429427
909,49,19434,52456976
910,48,1574,4059310
912,55,36619,97885575
913,50,2168,5714129
914,54,10761,28897026
915,59,359828,974150589
917,58,794277,-2144696178
919,58,445041,1206814535
922,60,1175079,-1099853482
925,56,58766,159045227
929,51,3831,10155413
933,46,3551,9446314
935,63,190280,512851998
937,52,8571,23010788
938,48,4543,12039783
939,62,1687018,-7166123
942,59,375226,966064638
943,53,34899,87852470
944,54,13473,34526940
947,50,3756,9832234
950,53,26705,69889731
954,52,107273,278047081
955,58,111405,288957311
958,50,8717,21165359
959,46,1407,3633573
960,63,12277,31536605
963,41,1,4405
964,60,499037,1277991428
965,57,512415,1325398545
968,55,5108,12897387
972,56,7213,16963208
976,51,911,2295814
978,53,15617,39235889
979,61,198879,515656751
980,60,123529,321951544
983,52,8094,21149956
986,57,18622,47885251
987,55,115384,294505678
988,51,3210,7744196
991,53,29353,73298823
993,51,214604,546174163
994,54,27482,68865083
997,52,67273,172842652
998,61,874047,-2029438474
999,59,660613,1666973976
